2019-10-27 11:14:04,827 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 859 
2019-10-27 11:14:04,837 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 868 
2019-10-27 11:14:14,140 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 10172 
2019-10-27 11:14:28,618 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 863 
2019-10-27 11:14:30,350 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 848 
2019-10-27 11:14:30,351 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 849 
2019-10-27 11:14:30,360 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 858 
2019-10-27 11:14:30,368 , server, user_uttered, DEBUG, 10, User : {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'bab2d5e4cf57443282ee8dfa6390ada8'}, server.py, MainProcess, 2613 
2019-10-27 11:15:33,305 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 63803 
2019-10-27 11:15:39,997 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 752 
2019-10-27 11:15:41,591 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 831 
2019-10-27 11:15:41,592 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 832 
2019-10-27 11:15:41,602 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 841 
2019-10-27 11:15:41,610 , server, user_uttered, DEBUG, 10, User : {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'ad129610b6ae40ef9815825d3c4d3ec6'}, server.py, MainProcess, 2364 
2019-10-27 11:15:41,612 , server, send_msg, INFO, 20, Bot : {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'ad129610b6ae40ef9815825d3c4d3ec6'}, server.py, MainProcess, 2366 
2019-10-27 11:15:41,613 , client, on_bot_msg, INFO, 20, Bot: {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'ad129610b6ae40ef9815825d3c4d3ec6'}, client.py, MainProcess, 852 
2019-10-27 11:15:44,303 , client, <module>, DEBUG, 10, User: hi, client.py, MainProcess, 3543 
